status-checking,duration,cred-history,purpose,credit-amount,savings-account,employment-since,installment-rate,sex,debtors,residence,property,age,other-plans,housing,existing-credits,job,liable,telephone,foreign,decision
A14,>18,A32,A40,<=2320,A63,A75,>3,A93,A101,>3,A122,>33,A143,A152,<=1,A173,<=1,A191,A201,good
A14,<=18,A32,A42,>2320,A63,A73,<=3,A93,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A192,A201,good
A11,<=18,A32,A42,<=2320,A61,A71,>3,A92,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A191,A201,bad
A12,<=18,A32,A42,<=2320,A64,A72,>3,A92,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A14,>18,A32,A42,>2320,A61,A74,<=3,A92,A101,>3,A122,<=33,A143,A151,<=1,A173,<=1,A192,A201,good
A12,>18,A34,A49,<=2320,A61,A75,>3,A91,A101,>3,A121,<=33,A143,A152,>1,A173,<=1,A192,A201,bad
A11,<=18,A30,A40,<=2320,A61,A75,>3,A93,A101,<=3,A123,<=33,A143,A151,>1,A173,>1,A191,A201,bad
A14,<=18,A32,A42,<=2320,A61,A73,>3,A92,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A192,A201,good
A12,>18,A33,A42,<=2320,A61,A71,<=3,A92,A101,<=3,A122,>33,A143,A152,<=1,A174,<=1,A192,A201,bad
A12,<=18,A32,A43,<=2320,A61,A73,>3,A93,A103,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A191,A202,good
A11,>18,A33,A46,>2320,A61,A72,<=3,A93,A101,<=3,A122,<=33,A143,A152,>1,A173,<=1,A191,A201,bad
A14,>18,A31,A41,>2320,A65,A71,>3,A92,A101,<=3,A121,>33,A141,A152,<=1,A174,<=1,A192,A201,bad
A11,<=18,A32,A42,>2320,A61,A73,<=3,A91,A101,<=3,A123,>33,A143,A152,<=1,A173,<=1,A191,A201,good
A11,<=18,A34,A43,<=2320,A63,A75,>3,A93,A101,>3,A123,>33,A143,A152,>1,A173,<=1,A191,A201,good
A14,<=18,A32,A43,<=2320,A61,A74,>3,A93,A101,<=3,A123,<=33,A143,A151,>1,A174,>1,A192,A201,good
A11,>18,A34,A40,<=2320,A61,A75,>3,A93,A101,>3,A121,>33,A143,A152,>1,A173,<=1,A191,A201,good
A14,>18,A33,A49,>2320,A61,A72,<=3,A91,A101,<=3,A123,<=33,A143,A152,>1,A173,<=1,A191,A201,bad
A12,>18,A33,A49,>2320,A61,A73,<=3,A91,A101,<=3,A121,<=33,A142,A152,>1,A174,<=1,A192,A201,bad
A11,>18,A31,A40,<=2320,A65,A73,>3,A93,A101,<=3,A122,>33,A143,A152,>1,A172,>1,A191,A201,bad
A14,>18,A34,A42,>2320,A64,A73,>3,A93,A101,>3,A121,>33,A143,A152,<=1,A173,<=1,A192,A201,good
A12,<=18,A34,A40,<=2320,A61,A75,>3,A93,A101,>3,A123,>33,A141,A152,<=1,A173,>1,A192,A201,bad
A14,<=18,A34,A43,<=2320,A61,A73,>3,A93,A101,<=3,A122,<=33,A143,A152,>1,A173,<=1,A191,A201,good
A12,<=18,A31,A41,>2320,A61,A75,<=3,A92,A101,>3,A124,>33,A141,A153,<=1,A174,>1,A192,A201,bad
A12,<=18,A34,A40,<=2320,A61,A71,<=3,A93,A101,<=3,A123,>33,A143,A153,>1,A171,<=1,A192,A201,good
A11,<=18,A32,A43,<=2320,A62,A74,>3,A94,A101,<=3,A122,<=33,A143,A152,<=1,A173,<=1,A191,A201,bad
A12,<=18,A30,A42,>2320,A61,A73,<=3,A92,A101,>3,A123,<=33,A141,A152,>1,A173,<=1,A192,A201,good
A14,>18,A32,A49,>2320,A64,A73,<=3,A93,A101,<=3,A122,>33,A143,A152,>1,A174,<=1,A192,A201,bad
A12,>18,A30,A49,>2320,A62,A74,>3,A93,A101,>3,A124,>33,A143,A153,<=1,A172,>1,A191,A201,bad
A12,>18,A32,A49,>2320,A61,A73,>3,A93,A101,<=3,A123,>33,A143,A152,<=1,A173,>1,A192,A201,bad
A14,<=18,A32,A43,<=2320,A61,A74,<=3,A94,A101,<=3,A121,<=33,A143,A151,<=1,A173,<=1,A191,A201,good
A12,>18,A32,A43,>2320,A62,A73,>3,A93,A103,>3,A122,<=33,A143,A151,<=1,A173,<=1,A191,A201,bad
A12,<=18,A34,A46,<=2320,A61,A75,<=3,A92,A101,<=3,A123,>33,A143,A152,>1,A174,<=1,A192,A201,bad
A14,<=18,A34,A43,<=2320,A61,A73,<=3,A92,A101,<=3,A123,<=33,A143,A152,>1,A173,<=1,A192,A201,good
A12,<=18,A32,A42,<=2320,A62,A72,>3,A92,A101,>3,A123,<=33,A141,A151,>1,A173,<=1,A191,A201,bad
A12,>18,A32,A41,>2320,A65,A75,>3,A93,A101,>3,A124,>33,A141,A153,<=1,A173,<=1,A192,A201,good
A12,<=18,A33,A42,>2320,A61,A75,>3,A91,A101,<=3,A124,>33,A143,A152,<=1,A174,<=1,A192,A201,bad
A14,<=18,A34,A46,<=2320,A63,A75,>3,A93,A101,<=3,A123,>33,A143,A152,>1,A173,<=1,A192,A201,good
A11,<=18,A32,A40,<=2320,A61,A73,>3,A94,A101,<=3,A121,<=33,A143,A152,<=1,A172,<=1,A191,A201,good
A14,>18,A33,A49,>2320,A61,A74,<=3,A93,A101,>3,A123,<=33,A143,A152,>1,A173,<=1,A191,A201,good
A11,<=18,A32,A48,<=2320,A61,A74,>3,A94,A101,>3,A122,<=33,A143,A151,<=1,A173,<=1,A191,A201,bad
A14,<=18,A34,A40,<=2320,A61,A75,>3,A93,A101,<=3,A121,>33,A143,A152,>1,A172,>1,A191,A201,good
A11,>18,A34,A41,>2320,A61,A75,<=3,A93,A101,>3,A124,>33,A143,A153,>1,A174,>1,A192,A201,good
A14,<=18,A34,A42,<=2320,A61,A75,>3,A93,A101,>3,A121,>33,A143,A152,>1,A173,<=1,A192,A201,good
A12,<=18,A34,A44,<=2320,A61,A74,>3,A93,A101,<=3,A122,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A11,>18,A32,A49,>2320,A61,A73,<=3,A94,A101,<=3,A123,<=33,A142,A152,<=1,A172,<=1,A191,A201,good
A14,<=18,A32,A41,<=2320,A64,A74,<=3,A93,A101,<=3,A122,>33,A143,A152,<=1,A173,<=1,A191,A202,good
A14,<=18,A34,A43,>2320,A65,A73,<=3,A93,A101,<=3,A121,<=33,A143,A152,>1,A173,>1,A191,A201,good
A14,>18,A32,A43,>2320,A65,A75,<=3,A92,A101,>3,A121,>33,A143,A152,<=1,A172,<=1,A192,A201,good
A11,>18,A30,A49,>2320,A61,A71,<=3,A93,A101,>3,A122,>33,A142,A152,>1,A173,<=1,A192,A201,bad
A13,>18,A33,A49,<=2320,A61,A75,>3,A93,A101,>3,A121,>33,A143,A152,<=1,A174,<=1,A192,A201,bad
A14,>18,A34,A43,>2320,A65,A75,>3,A93,A101,<=3,A123,>33,A143,A152,<=1,A173,<=1,A192,A201,good
A12,<=18,A34,A48,<=2320,A65,A74,<=3,A92,A101,<=3,A122,>33,A143,A152,>1,A172,<=1,A191,A201,good
A11,<=18,A30,A49,>2320,A61,A74,<=3,A93,A101,<=3,A122,<=33,A141,A152,<=1,A173,<=1,A192,A201,good
A13,>18,A32,A43,>2320,A61,A73,<=3,A93,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A192,A201,good
A11,>18,A32,A42,>2320,A61,A73,<=3,A91,A101,<=3,A121,<=33,A143,A151,<=1,A172,<=1,A191,A201,good
A14,<=18,A32,A40,<=2320,A61,A73,<=3,A92,A101,>3,A123,>33,A143,A152,<=1,A173,<=1,A192,A201,good
A12,<=18,A32,A43,<=2320,A61,A72,>3,A94,A103,<=3,A121,<=33,A141,A152,<=1,A172,<=1,A191,A201,good
A11,<=18,A32,A46,<=2320,A65,A73,>3,A92,A101,>3,A122,<=33,A141,A151,<=1,A173,<=1,A192,A201,good
A14,<=18,A32,A43,<=2320,A61,A73,>3,A93,A101,<=3,A121,<=33,A141,A152,>1,A173,<=1,A191,A201,good
A14,>18,A33,A49,>2320,A65,A73,>3,A93,A101,>3,A121,<=33,A143,A152,>1,A173,>1,A192,A201,good
A14,<=18,A32,A41,>2320,A61,A73,<=3,A93,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A192,A201,good
A14,>18,A30,A45,>2320,A61,A73,>3,A93,A101,<=3,A123,<=33,A143,A152,>1,A173,<=1,A191,A201,good
A12,>18,A32,A43,>2320,A64,A74,<=3,A93,A102,<=3,A124,<=33,A141,A152,>1,A173,<=1,A192,A201,bad
A11,<=18,A32,A42,>2320,A61,A75,>3,A93,A101,>3,A124,>33,A143,A153,<=1,A174,<=1,A192,A201,bad
A14,<=18,A32,A43,<=2320,A61,A74,>3,A93,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A191,A201,bad
A11,>18,A32,A42,>2320,A61,A72,>3,A93,A101,<=3,A124,<=33,A141,A153,<=1,A173,<=1,A191,A201,good
A13,>18,A32,A43,>2320,A61,A73,>3,A93,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A191,A201,bad
A14,<=18,A32,A40,>2320,A63,A75,<=3,A93,A101,>3,A124,>33,A143,A153,<=1,A172,<=1,A191,A201,good
A14,<=18,A32,A43,<=2320,A62,A74,<=3,A93,A101,<=3,A124,>33,A143,A152,<=1,A173,<=1,A191,A201,good
A12,<=18,A32,A43,<=2320,A61,A73,>3,A94,A103,<=3,A121,<=33,A143,A152,<=1,A172,<=1,A191,A201,good
A14,<=18,A34,A43,<=2320,A61,A74,<=3,A93,A101,<=3,A121,>33,A143,A152,>1,A172,>1,A191,A201,good
A11,>18,A32,A43,<=2320,A61,A71,>3,A93,A101,<=3,A123,<=33,A142,A152,<=1,A174,>1,A191,A201,bad
A12,<=18,A32,A40,>2320,A65,A71,<=3,A93,A101,<=3,A122,<=33,A143,A152,<=1,A171,<=1,A192,A201,bad
A12,>18,A32,A49,>2320,A62,A75,>3,A91,A101,<=3,A123,>33,A141,A151,>1,A172,<=1,A191,A201,bad
A14,<=18,A34,A43,<=2320,A61,A73,>3,A92,A101,<=3,A122,>33,A143,A152,>1,A173,<=1,A191,A201,good
A11,>18,A32,A43,>2320,A61,A75,<=3,A93,A103,<=3,A122,>33,A143,A152,<=1,A173,>1,A191,A201,good
A11,>18,A32,A40,<=2320,A65,A75,>3,A92,A101,<=3,A123,<=33,A141,A152,<=1,A173,<=1,A191,A201,bad
A14,<=18,A32,A43,<=2320,A61,A74,<=3,A93,A101,<=3,A122,>33,A143,A152,<=1,A173,>1,A191,A201,good
A11,>18,A30,A41,>2320,A61,A75,<=3,A93,A101,>3,A124,<=33,A143,A153,>1,A173,>1,A191,A201,bad
A14,<=18,A34,A49,<=2320,A61,A73,<=3,A92,A101,<=3,A121,<=33,A143,A152,>1,A173,<=1,A191,A201,good
A14,<=18,A31,A48,>2320,A63,A73,>3,A92,A101,<=3,A121,>33,A143,A152,<=1,A172,>1,A191,A201,good
A14,>18,A32,A49,<=2320,A61,A74,>3,A93,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A192,A201,good
A14,<=18,A34,A43,<=2320,A61,A75,>3,A93,A101,>3,A121,>33,A143,A152,>1,A173,<=1,A191,A201,good
A14,<=18,A30,A40,<=2320,A62,A73,>3,A93,A101,<=3,A124,>33,A141,A151,<=1,A173,<=1,A191,A202,good
A13,>18,A32,A42,<=2320,A61,A73,<=3,A93,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A14,<=18,A32,A43,<=2320,A61,A71,<=3,A92,A102,>3,A121,<=33,A143,A151,<=1,A173,<=1,A191,A201,bad
A11,<=18,A34,A40,<=2320,A64,A74,<=3,A92,A101,>3,A121,>33,A143,A152,>1,A172,<=1,A192,A201,good
A13,<=18,A32,A42,<=2320,A61,A73,<=3,A92,A101,<=3,A123,>33,A143,A152,<=1,A172,<=1,A191,A201,good
A12,>18,A32,A40,<=2320,A61,A73,>3,A92,A103,<=3,A124,<=33,A141,A152,<=1,A173,<=1,A191,A201,bad
A14,>18,A33,A42,>2320,A62,A73,<=3,A93,A101,<=3,A122,>33,A143,A152,>1,A173,<=1,A191,A201,good
A12,<=18,A32,A42,<=2320,A65,A74,<=3,A93,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A192,A201,good
A12,>18,A33,A43,>2320,A65,A73,<=3,A93,A101,<=3,A121,<=33,A143,A152,<=1,A172,<=1,A191,A201,good
A14,>18,A34,A43,>2320,A61,A73,>3,A93,A101,<=3,A121,>33,A143,A152,>1,A172,<=1,A191,A201,good
A11,<=18,A31,A43,<=2320,A61,A73,>3,A91,A101,<=3,A124,<=33,A143,A153,<=1,A173,<=1,A191,A201,bad
A14,<=18,A32,A41,>2320,A62,A72,<=3,A92,A101,>3,A123,<=33,A143,A152,<=1,A173,<=1,A192,A201,good
A14,<=18,A34,A43,<=2320,A62,A71,>3,A92,A101,>3,A121,>33,A143,A152,>1,A172,<=1,A191,A201,good
A11,<=18,A32,A42,<=2320,A61,A73,<=3,A93,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A11,>18,A32,A43,<=2320,A61,A75,>3,A92,A101,>3,A123,>33,A143,A152,<=1,A173,<=1,A191,A201,good
A11,<=18,A34,A40,>2320,A61,A75,<=3,A93,A101,>3,A124,>33,A143,A153,>1,A174,<=1,A192,A201,good
A14,<=18,A34,A46,>2320,A61,A75,<=3,A92,A101,>3,A124,>33,A141,A153,>1,A172,<=1,A191,A201,good
A14,<=18,A34,A40,<=2320,A61,A75,<=3,A93,A101,>3,A121,<=33,A143,A152,>1,A172,>1,A191,A202,good
A12,<=18,A32,A43,<=2320,A61,A75,>3,A93,A101,<=3,A123,>33,A143,A152,<=1,A173,>1,A191,A201,bad
A14,>18,A34,A49,>2320,A65,A75,>3,A93,A101,>3,A121,>33,A143,A152,>1,A173,<=1,A191,A201,good
A14,>18,A32,A43,<=2320,A61,A72,>3,A92,A101,<=3,A123,>33,A142,A152,<=1,A173,<=1,A192,A201,good
A11,<=18,A32,A40,>2320,A61,A75,<=3,A91,A101,>3,A122,>33,A143,A152,<=1,A174,<=1,A192,A202,bad
A14,>18,A32,A43,<=2320,A65,A75,>3,A93,A101,<=3,A123,<=33,A143,A152,>1,A173,<=1,A191,A201,good
A14,<=18,A32,A40,>2320,A65,A74,>3,A93,A101,<=3,A122,<=33,A143,A152,<=1,A173,<=1,A191,A202,good
A14,<=18,A34,A42,<=2320,A63,A74,<=3,A92,A101,>3,A123,>33,A143,A151,<=1,A173,<=1,A192,A201,good
A12,>18,A31,A40,>2320,A65,A71,>3,A93,A102,>3,A124,>33,A143,A153,<=1,A174,<=1,A192,A201,good
A12,>18,A32,A43,>2320,A61,A74,>3,A93,A101,>3,A121,<=33,A143,A152,>1,A173,<=1,A191,A201,bad
A11,>18,A32,A45,>2320,A61,A72,<=3,A91,A101,<=3,A124,>33,A143,A152,<=1,A172,<=1,A192,A201,bad
A14,<=18,A32,A43,>2320,A61,A73,<=3,A93,A101,<=3,A121,<=33,A143,A152,<=1,A173,>1,A191,A201,good
A14,<=18,A34,A43,>2320,A61,A73,<=3,A92,A101,<=3,A123,<=33,A143,A152,>1,A173,<=1,A191,A201,good
A11,<=18,A32,A42,<=2320,A65,A75,<=3,A91,A101,>3,A122,>33,A143,A152,<=1,A172,<=1,A192,A201,good
A14,<=18,A32,A42,>2320,A61,A72,<=3,A92,A101,>3,A122,<=33,A143,A152,<=1,A173,<=1,A191,A201,bad
A14,>18,A32,A43,<=2320,A62,A73,>3,A93,A101,>3,A123,<=33,A143,A151,<=1,A174,<=1,A192,A201,good
A14,<=18,A34,A41,>2320,A64,A75,<=3,A93,A101,>3,A124,<=33,A143,A151,>1,A173,<=1,A192,A201,good
A14,<=18,A32,A42,<=2320,A61,A73,>3,A93,A101,<=3,A121,>33,A143,A152,<=1,A173,<=1,A191,A201,good
A13,<=18,A31,A43,<=2320,A65,A74,>3,A93,A101,>3,A123,>33,A141,A152,<=1,A172,<=1,A191,A201,good
A14,<=18,A34,A42,<=2320,A65,A75,>3,A93,A101,>3,A122,>33,A143,A152,<=1,A173,<=1,A191,A201,good
A12,>18,A34,A40,>2320,A62,A72,>3,A91,A101,<=3,A123,>33,A143,A152,<=1,A173,<=1,A192,A201,good
A11,>18,A32,A40,>2320,A61,A72,<=3,A92,A101,<=3,A121,>33,A143,A152,<=1,A172,<=1,A192,A201,good
A11,>18,A32,A41,>2320,A61,A74,>3,A93,A101,<=3,A122,<=33,A143,A152,<=1,A173,>1,A191,A201,good
A12,>18,A33,A410,>2320,A62,A71,<=3,A93,A101,>3,A124,<=33,A143,A153,<=1,A174,<=1,A192,A201,good
A12,<=18,A32,A43,<=2320,A61,A73,>3,A92,A103,>3,A121,>33,A143,A152,>1,A173,<=1,A192,A201,good
A11,>18,A33,A43,<=2320,A61,A72,>3,A94,A101,>3,A121,>33,A142,A152,<=1,A173,<=1,A191,A201,bad
A14,<=18,A32,A49,<=2320,A61,A73,<=3,A94,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A192,A202,good
A12,>18,A32,A41,>2320,A61,A72,<=3,A94,A101,>3,A123,<=33,A143,A151,<=1,A174,<=1,A192,A201,bad
A11,>18,A34,A41,>2320,A61,A75,<=3,A92,A101,>3,A124,>33,A143,A153,>1,A174,>1,A192,A201,good
A13,>18,A34,A41,>2320,A61,A75,>3,A93,A101,>3,A124,>33,A143,A153,<=1,A173,<=1,A191,A201,good
A14,>18,A34,A49,>2320,A65,A75,>3,A91,A101,<=3,A123,>33,A141,A152,>1,A174,>1,A191,A201,good
A12,>18,A32,A42,>2320,A61,A72,<=3,A92,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A192,A201,bad
A14,<=18,A32,A41,>2320,A65,A72,<=3,A92,A101,>3,A123,<=33,A143,A151,<=1,A173,<=1,A191,A201,good
A14,<=18,A32,A40,<=2320,A65,A75,>3,A93,A102,<=3,A122,>33,A143,A152,<=1,A172,<=1,A191,A202,good
A14,<=18,A32,A42,>2320,A61,A73,<=3,A93,A101,>3,A121,>33,A143,A152,<=1,A173,<=1,A192,A201,good
A12,>18,A34,A42,>2320,A64,A74,<=3,A93,A101,<=3,A123,<=33,A143,A152,>1,A173,<=1,A192,A201,good
A14,<=18,A32,A40,<=2320,A61,A71,<=3,A92,A101,>3,A121,>33,A143,A152,<=1,A171,<=1,A192,A201,good
A12,>18,A30,A43,>2320,A61,A73,>3,A92,A101,<=3,A123,>33,A143,A152,<=1,A173,<=1,A192,A201,bad
A13,>18,A34,A40,<=2320,A65,A74,>3,A93,A101,<=3,A121,>33,A141,A152,>1,A172,>1,A191,A201,bad
A11,<=18,A34,A40,<=2320,A61,A74,>3,A93,A102,<=3,A122,>33,A143,A152,>1,A173,<=1,A192,A201,good
A14,>18,A34,A40,>2320,A63,A73,<=3,A93,A101,<=3,A124,>33,A141,A153,<=1,A173,<=1,A191,A201,bad
A14,<=18,A32,A42,<=2320,A64,A73,>3,A91,A101,<=3,A121,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A14,>18,A32,A41,>2320,A65,A74,<=3,A92,A101,>3,A122,<=33,A142,A151,<=1,A172,<=1,A191,A201,good
A11,<=18,A32,A43,<=2320,A62,A72,>3,A94,A101,<=3,A124,<=33,A143,A152,<=1,A172,<=1,A192,A201,bad
A12,<=18,A32,A42,<=2320,A61,A73,<=3,A92,A101,>3,A121,<=33,A143,A152,<=1,A173,<=1,A191,A201,bad
A12,<=18,A32,A40,<=2320,A61,A73,>3,A94,A101,>3,A121,<=33,A143,A151,<=1,A172,<=1,A191,A201,good
A12,>18,A32,A410,>2320,A65,A71,<=3,A93,A101,>3,A124,>33,A141,A153,<=1,A171,<=1,A192,A201,good
A14,>18,A32,A42,>2320,A62,A73,>3,A93,A101,<=3,A123,<=33,A142,A152,<=1,A173,<=1,A191,A201,good
A13,>18,A32,A42,>2320,A61,A72,<=3,A92,A101,>3,A123,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A12,<=18,A32,A40,<=2320,A61,A74,<=3,A94,A101,<=3,A123,<=33,A141,A152,<=1,A172,<=1,A191,A201,bad
A13,<=18,A32,A40,<=2320,A65,A72,<=3,A93,A101,<=3,A121,<=33,A143,A152,<=1,A172,>1,A191,A202,good
A11,>18,A31,A42,>2320,A61,A75,>3,A93,A101,>3,A123,<=33,A141,A152,<=1,A173,<=1,A191,A201,bad
A11,<=18,A32,A42,<=2320,A61,A73,<=3,A93,A103,<=3,A122,>33,A143,A152,<=1,A172,>1,A191,A201,good
A12,>18,A32,A42,>2320,A65,A73,<=3,A92,A101,>3,A122,>33,A143,A152,<=1,A172,<=1,A192,A201,good
A14,<=18,A34,A46,<=2320,A61,A73,>3,A93,A101,<=3,A123,<=33,A143,A152,>1,A173,<=1,A191,A201,good
A11,<=18,A33,A42,>2320,A61,A75,<=3,A92,A101,>3,A122,<=33,A143,A152,>1,A172,<=1,A191,A201,good
A12,>18,A34,A40,>2320,A61,A71,>3,A94,A101,<=3,A123,<=33,A143,A152,>1,A174,<=1,A191,A201,bad
A11,>18,A32,A43,<=2320,A61,A72,>3,A91,A101,<=3,A122,<=33,A143,A152,<=1,A173,<=1,A191,A201,bad
A11,>18,A32,A41,>2320,A61,A74,<=3,A93,A101,<=3,A124,>33,A143,A153,<=1,A174,<=1,A192,A201,good
A11,<=18,A32,A42,>2320,A64,A73,>3,A93,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A14,<=18,A34,A40,<=2320,A61,A73,>3,A92,A101,<=3,A121,>33,A143,A152,>1,A173,<=1,A191,A201,good
A11,<=18,A34,A40,>2320,A61,A74,<=3,A93,A101,>3,A121,>33,A143,A152,>1,A172,<=1,A191,A202,good
A14,<=18,A34,A42,>2320,A65,A75,<=3,A93,A101,>3,A122,>33,A143,A151,<=1,A173,<=1,A192,A201,good
A14,>18,A32,A40,<=2320,A64,A74,>3,A92,A101,<=3,A123,>33,A143,A152,<=1,A173,>1,A192,A201,good
A13,>18,A32,A43,>2320,A61,A75,>3,A93,A101,<=3,A123,<=33,A143,A152,<=1,A173,<=1,A191,A201,good
A12,<=18,A32,A43,<=2320,A61,A75,>3,A93,A101,>3,A123,<=33,A143,A152,<=1,A173,>1,A191,A201,good
A11,>18,A34,A41,>2320,A61,A71,<=3,A93,A101,>3,A124,>33,A143,A153,>1,A174,<=1,A192,A201,good
